"","Site_ID","n_sample","AI","PFT","latitude","longitude","elevation","AI_level"
"1","US-A32",595,0.465206986390049,"GRA",36.8193,-97.8198,335,"Semiarid"
"2","US-A74",485,0.254200827285468,"CRO",36.8085,-97.5489,337,"Semiarid"
"3","US-ALQ",1897,NA,"WET",46.0308,-89.6067,NA,NA
"4","US-AR1",1237,0.315850266863197,"GRA",36.4267,-99.42,611,"Semiarid"
"5","US-AR2",1135,0.278025909300684,"GRA",36.6358,-99.5975,646,"Semiarid"
"6","US-ARM",7333,0.514351375769582,"CRO",36.6058,-97.4888,314,NA
"7","US-ARb",601,0.30023875236867,"GRA",35.5497,-98.0402,424,"Semiarid"
"8","US-ARc",605,0.308093237997364,"GRA",35.5465,-98.04,424,"Semiarid"
"9","US-ASH",82,0,"DBF",36.1697,-120.201,147,"Hyperarid"
"10","US-ASM",93,0,"DBF",36.1777,-120.2026,147,"Hyperarid"
"11","US-Akn",2013,Inf,"MF",33.3825,-81.5653,93,"Humid"
"12","US-BRG",1068,NA,"GRA",39.2167,-86.5406,180,NA
"13","US-Bar",6306,1.49600536668038,"DBF",44.0646,-71.2881,272,"Humid"
"14","US-Bi1",1963,0.245246366690373,"CRO",38.0992,-121.4993,-2.7,"Semiarid"
"15","US-Bi2",1687,0.142209256957808,"CRO",38.1091,-121.5351,-5,"Arid"
"16","US-CF1",1538,0.00816856236871933,"CRO",46.7815,-117.0821,794,"Hyperarid"
"17","US-CF2",1188,0.00870054163007046,"CRO",46.784,-117.0908,807,"Hyperarid"
"18","US-CF3",1127,0.0152542048810697,"CRO",46.7551,-117.1261,795,"Hyperarid"
"19","US-CF4",1229,0.014972890774668,"CRO",46.7518,-117.1285,795,"Hyperarid"
"20","US-CGG",868,0.173606315244238,"GRA",37.938,-121.9761,119.5,"Arid"
"21","US-CRT",1096,0.522627537719002,"CRO",41.6285,-83.3471,180,NA
"22","US-CS1",303,1.35967161272136,"CRO",44.1031,-89.5379,328,"Humid"
"23","US-CS2",963,0,"ENF",44.1467,-89.5002,328,"Hyperarid"
"24","US-CS3",353,1.68626308041994,"CRO",44.1394,-89.5727,328,"Humid"
"25","US-CS4",312,1.14880115818671,"CRO",44.1597,-89.5475,328,"Humid"
"26","US-CS5",227,1.68378814060908,"CRO",44.1095,-89.5377,328,"Humid"
"27","US-CS6",291,1.06194621461368,"CRO",44.4297,-89.544,328,"Humid"
"28","US-CS8",143,1.00529167596085,"CRO",44.4338,-89.5364,328,"Humid"
"29","US-CdM",1543,Inf,"WSA",37.5241,-109.7471,1860,"Humid"
"30","US-Cop",1510,0.0857720225338656,"GRA",38.09,-109.39,1520,"Arid"
"31","US-Cst",1495,0.635788264374581,"ENF",33.0442,-91.9204,50,NA
"32","US-DFC",1478,0.711703308545764,"CRO",43.3448,-89.7117,264.9,"Humid"
"33","US-DS3",721,0.126904002682816,"CRO",38.1235,-121.549,-7,"Arid"
"34","US-Dmg",841,Inf,"WET",38.0015,-121.6691,1,"Humid"
"35","US-EDN",587,Inf,"WET",37.6156,-122.114,NA,"Humid"
"36","US-Fmf",1905,0.501608728281295,"ENF",35.1426,-111.7273,2160,NA
"37","US-Fuf",1796,0.539899623355332,"ENF",35.089,-111.762,2180,NA
"38","US-Fwf",1923,0.340979062420444,"GRA",35.4454,-111.7718,2270,"Semiarid"
"39","US-GLE",5737,1.71982842264319,"ENF",41.3665,-106.2399,3197,"Humid"
"40","US-HB1",1360,Inf,"WET",33.3455,-79.1957,0.1,"Humid"
"41","US-HB2",356,1.25920777510665,"ENF",33.3242,-79.244,4.7,"Humid"
"42","US-HB3",1457,1.46068284360504,"ENF",33.3482,-79.2322,7.3,"Humid"
"43","US-HWB",1112,0.766171216765092,"CVM",40.8608,-77.8488,378,"Humid"
"44","US-Hn2",687,0.033528887695129,"GRA",46.6889,-119.4641,117.5,"Hyperarid"
"45","US-Hn3",276,0.007190249150678,"OSH",46.6878,-119.4614,120.9,"Hyperarid"
"46","US-Ho1",7553,4.48752879183714,"ENF",45.2041,-68.7402,60,"Humid"
"47","US-Ho2",2012,1.25333276407826,"ENF",45.2091,-68.747,61,"Humid"
"48","US-Jo1",4119,Inf,"OSH",32.582,-106.635,1188,"Humid"
"49","US-Jo2",3330,0.188659213283909,"OSH",32.5849,-106.6032,1469,"Arid"
"50","US-KFS",4083,0.418001598449929,"GRA",39.0561,-95.1907,310,"Semiarid"
"51","US-KLS",2367,0.207648132151049,"GRA",38.7745,-97.5684,373,"Semiarid"
"52","US-KS1",318,1.03255421436605,"ENF",28.4583,-80.6709,1,"Humid"
"53","US-KS2",1664,1.74810864858077,"CSH",28.6086,-80.6715,3,"Humid"
"54","US-KS3",266,Inf,"WET",28.7084,-80.7427,0,"Humid"
"55","US-Kon",4933,0.50120664728816,"GRA",39.0824,-96.5603,417,NA
"56","US-LS2",1730,0.110427015930927,"SAV",31.5659,-110.1344,1240,"Arid"
"57","US-Lin",374,0.21486575084712,"CRO",36.3566,-119.0922,131,"Semiarid"
"58","US-MMS",8027,1.74414166987292,"DBF",39.3232,-86.4131,275,"Humid"
"59","US-MOz",6222,0.872987623136963,"DBF",38.7441,-92.2,219.4,"Humid"
"60","US-Me1",337,0.224578214501275,"ENF",44.5794,-121.5,896,"Semiarid"
"61","US-Me2",7145,0.561833887472289,"ENF",44.4526,-121.5589,1253,NA
"62","US-Me3",1868,0.365780900838579,"ENF",44.3154,-121.6078,1005,"Semiarid"
"63","US-Me6",4416,0.327582987255841,"ENF",44.3233,-121.6078,998,"Semiarid"
"64","US-Mo1",2914,0.767850288903679,"CRO",39.2298,-92.1167,260,"Humid"
"65","US-Mo2",2112,0.230143784627424,"GRA",38.9488,-91.9945,275,"Semiarid"
"66","US-Mo3",2023,0.790737766520029,"CRO",39.2322,-92.1493,261,"Humid"
"67","US-Mpj",4698,0.511295423300059,"WSA",34.4385,-106.2377,2196,NA
"68","US-NC1",2775,1.31467265351095,"ENF",35.8118,-76.7119,5,"Humid"
"69","US-NC3",2448,2.02296461407492,"ENF",35.799,-76.656,5,"Humid"
"70","US-NC4",4064,Inf,"WET",35.7879,-75.9038,1,"Humid"
"71","US-NR1",6163,0.360268666126756,"ENF",40.0329,-105.5464,3050,"Semiarid"
"72","US-Ne1",7161,0,"CRO",41.1651,-96.4766,361,"Hyperarid"
"73","US-ONA",2259,0.547871553782321,"GRA",27.3836,-81.9509,25,NA
"74","US-ORv",1947,NA,"WET",40.0201,-83.0183,221,NA
"75","US-Oho",3426,0.992907180725279,"DBF",41.5545,-83.8438,230,"Humid"
"76","US-PFL",114,0,"DBF",45.9409,-90.3177,464,"Hyperarid"
"77","US-PFb",112,0,"ENF",45.972,-90.3232,474,"Hyperarid"
"78","US-PFc",111,0,"DBF",45.9677,-90.3088,473,"Hyperarid"
