"","Site_ID","AI","ER"
"1","US-A32",0.0340217021379032,0.0205069400109202
"2","US-A74",0.0184840185590139,0.00981199915671391
"3","US-Akn",NA,0.0012744621994813
"4","US-AR1",0.0219557634459721,0.0200442312209849
"5","US-AR2",0.0196233088075136,0.02134140192301
"6","US-ARb",0.0200092866440706,0.0192883068055059
"7","US-ARc",0.0278318069426417,0.0184182348147917
"8","US-ARM",0.0325999998501876,0.0193363461655329
"9","US-ASH",NA,NA
"10","US-ASM",NA,NA
"11","US-Bar",0.0667697276216363,0.0716655601213843
"12","US-Bi1",0.0221651372646403,0.0087251690894669
"13","US-Bi2",0.0122645288588025,0.00738609095024961
"14","US-BRG",NA,0
"15","US-CdM",NA,0.0113245190572847
"16","US-CF1",0.000849707185411221,0.00085540915521033
"17","US-CF2",0.000824829216176121,0.000941123280634837
"18","US-CF3",0.00150641190984643,0.00159703241036621
"19","US-CF4",0.00124730662912907,0.00127459470831306
"20","US-CGG",0.0131011005651047,0.0181747917703877
"21","US-Cop",0.00644753294249318,0.0358179024618218
"22","US-CRT",0.0488184689595001,0.024287640529645
"23","US-CS1",0.156743182632005,0.0587439596073553
"24","US-CS2",NA,NA
"25","US-CS3",0.120182334264776,0.05127548275024
"26","US-CS4",0.0434693121269574,0.0397853854860057
"27","US-CS5",0.0427539440766551,0.0340698705928566
"28","US-CS6",0.063851060007489,0.0357568302465356
"29","US-CS8",0.0395205179610102,0.0423039795455678
"30","US-Cst",0.0776264926696534,0.0246334988153676
"31","US-DFC",0.0444344274015125,0.0239780776363611
"32","US-DS3",0.0119164411885211,0.00298925580968471
"33","US-Fmf",0.0263802682902904,0.0253701235603849
"34","US-Fuf",0.0227128176575156,0.0236167264277542
"35","US-Fwf",0.0213072196452172,0.0265021555223561
"36","US-GLE",0.0985329622278971,0.051394968166561
"37","US-Ha1",0.103037116787161,0.112362542363215
"38","US-HB2",0.0335114018547663,0.0353047022037379
"39","US-HB3",0.137460777333618,0.0482547144448276
"40","US-Hn2",0.00126068090468047,0.00163951314890986
