"","site_id","site_name","data_policy","data_start","data_end","latitude","longitude","elevation","timezone","avg_air_temp_degC","avg_precip_mm","IGBP_veg","Koppen_clim_class","soil_texture","Description","porosity","psi.ae","lamda","Sf"
"1","US-A32","ARM-SGP Medford hay pasture","CCBY4.0",2015,2017,36.8193,-97.8198,335,"America/Chicago",33.9,889,"GRA","Cfa",4,"Silt loam",0.485,78.6,0.234,16.68
"2","US-A74","ARM SGP milo field","CCBY4.0",2015,2017,36.8085,-97.5489,337,"America/Chicago",33.9,889,"CRO","Cfa",4,"Silt loam",0.485,78.6,0.234,16.68
"3","US-Akn","Savannah River Site","CCBY4.0",2011,2022,33.3825,-81.5653,93,"America/New_York",NA,NA,"MF",NA,1,"Sand",0.395,12.1,0.694,4.95
"4","US-ALQ","Allequash Creek Site","CCBY4.0",2015,2024,46.0308,-89.6067,NA,"America/Chicago",NA,NA,"WET","Dfb",2,"Loamy sand",0.41,9,0.553,6.13
"5","US-AR1","ARM USDA UNL OSU Woodward Switchgrass 1","CCBY4.0",2009,2012,36.4267,-99.42,611,"America/Chicago",NA,NA,"GRA","Dsa",6,"Loam",0.451,47.8,0.252,8.89
"6","US-AR2","ARM USDA UNL OSU Woodward Switchgrass 2","CCBY4.0",2009,2012,36.6358,-99.5975,646,"America/Chicago",NA,NA,"GRA","Dsa",6,"Loam",0.451,47.8,0.252,8.89
"7","US-ARb","ARM Southern Great Plains burn site- Lamont","CCBY4.0",2005,2006,35.5497,-98.0402,424,"America/Chicago",NA,NA,"GRA","Cfa",4,"Silt loam",0.485,78.6,0.234,16.68
"8","US-ARc","ARM Southern Great Plains control site- Lamont","CCBY4.0",2005,2006,35.5465,-98.04,424,"America/Chicago",NA,NA,"GRA","Cfa",4,"Silt loam",0.485,78.6,0.234,16.68
"9","US-ARM","ARM Southern Great Plains site- Lamont","CCBY4.0",2003,2025,36.6058,-97.4888,314,"America/Chicago",14.76,843,"CRO","Cfa",4,"Silt loam",0.485,78.6,0.234,16.68
"10","US-ASH","USSL San Joaquin Valley Almond High Salinity","CCBY4.0",2016,2017,36.1697,-120.201,147,"America/Los_Angeles",18.1,210,"DBF","Bwk",3,"Sandy loam",0.435,21.8,0.378,11.01
"11","US-ASM","USSL San Joaquin Valley Almond Medium Salinity","CCBY4.0",2016,2017,36.1777,-120.2026,147,"America/Los_Angeles",18.1,210,"DBF","Bwk",3,"Sandy loam",0.435,21.8,0.378,11.01
"12","US-Bar","Bartlett Experimental Forest","CCBY4.0",2004,2024,44.0646,-71.2881,272,"America/New_York",5.61,1245.77,"DBF","Dfb",3,"Sandy loam",0.435,21.8,0.378,11.01
"13","US-Bi1","Bouldin Island Alfalfa","CCBY4.0",2016,2024,38.0992,-121.4993,-2.7,"America/Los_Angeles",16,338,"CRO","Csa",13,"Organic materials",NA,NA,NA,NA
"14","US-Bi2","Bouldin Island corn","CCBY4.0",2017,2024,38.1091,-121.5351,-5,"America/Los_Angeles",16,338,"CRO","Csa",13,"Organic materials",NA,NA,NA,NA
"15","US-BRG","Bayles Road Grassland Tower","CCBY4.0",2016,2020,39.2167,-86.5406,180,"America/Indiana/Indianapolis",11.8,1200,"GRA","Cfa",4,"Silt loam",0.485,78.6,0.234,16.68
"16","US-CdM","Cedar Mesa","CCBY4.0",2019,2023,37.5241,-109.7471,1860,"America/Denver",11.3,348,"WSA","Bsk",3,"Sandy loam",0.435,21.8,0.378,11.01
"17","US-CF1","CAF-LTAR Cook East","CCBY4.0",2017,2021,46.7815,-117.0821,794,"America/Los_Angeles",9,550,"CRO","Dsb",4,"Silt loam",0.485,78.6,0.234,16.68
"18","US-CF2","CAF-LTAR Cook West","CCBY4.0",2017,2021,46.784,-117.0908,807,"America/Los_Angeles",9,550,"CRO","Dsb",4,"Silt loam",0.485,78.6,0.234,16.68
"19","US-CF3","CAF-LTAR Boyd North","CCBY4.0",2017,2021,46.7551,-117.1261,795,"America/Los_Angeles",9,550,"CRO","Dsb",4,"Silt loam",0.485,78.6,0.234,16.68
"20","US-CF4","CAF-LTAR Boyd South","CCBY4.0",2017,2021,46.7518,-117.1285,795,"America/Los_Angeles",9,550,"CRO","Dsb",4,"Silt loam",0.485,78.6,0.234,16.68
"21","US-CGG","Concord Grazed Grassland","CCBY4.0",2019,2022,37.938,-121.9761,119.5,"America/Los_Angeles",16,419,"GRA","Csa",12,"Clay",0.482,40.5,0.165,31.63
"22","US-Cop","Corral Pocket","CCBY4.0",2001,2007,38.09,-109.39,1520,"America/Denver",NA,NA,"GRA",NA,3,"Sandy loam",0.435,21.8,0.378,11.01
"23","US-CRT","Curtice Walter-Berger cropland","CCBY4.0",2011,2013,41.6285,-83.3471,180,"America/New_York",10.1,849,"CRO","Dfa",11,"Silty clay",0.492,49,0.15,29.22
"24","US-CS1","Central Sands Irrigated Agricultural Field","CCBY4.0",2018,2019,44.1031,-89.5379,328,"America/Chicago",7,830,"CRO","Dfa",1,"Sand",0.395,12.1,0.694,4.95
