,site_id,longitude.x,latitude.x,mukey,OBJECTID,comppct_r,CONFIDENCE,AVG_SAND,AVG_SILT,AVG_CLAY,X,site_name,data_policy,data_start,data_end,latitude.y,longitude.y,elevation,timezone,avg_air_temp_degC,avg_precip_mm,IGBP_veg,Koppen_clim_class,soil_texture,Description,porosity,psi.ae,lamda,Sf,SOS,EOS,LGS,CH_GLAD,AI_gridded,RD
1,US-A32,-97.8198,36.8193,2628668,225042,100,R,8.778692687,50.89640205,40.32490527,1,ARM-SGP Medford hay pasture,CCBY4.0,2015,2017,36.8193,-97.8198,335,America/Chicago,33.9,889,GRA,Cfa,4,Silt loam,0.485,78.6,0.234,16.68,2/10/2015,12/15/2015,308,0,0.386640136,1.4431523
2,US-A74,-97.5489,36.8085,382717,225064,100,R,11.65335396,49.59760154,38.7490445,2,ARM SGP milo field,CCBY4.0,2015,2017,36.8085,-97.5489,337,America/Chicago,33.9,889,CRO,Cfa,4,Silt loam,0.485,78.6,0.234,16.68,3/30/2015,9/14/2015,168,0,0.427087674,1.176354569
3,US-Akn,-81.5653,33.3825,131335,271525,100,R,83.44827586,5.399014778,11.15270936,3,Savannah River Site,CCBY4.0,2011,2022,33.3825,-81.5653,93,America/New_York,NA,NA,MF,Cfa,1,Sand,0.395,12.1,0.694,4.95,4/19/2015,11/9/2015,204,17.85,1.012297937,3.931937451
4,US-AR1,-99.42,36.4267,385264,229871,100,R,11.74509354,65.65567177,22.59923469,4,ARM USDA UNL OSU Woodward Switchgrass 1,CCBY4.0,2009,2012,36.4267,-99.42,611,America/Chicago,NA,NA,GRA,Dsa,6,Loam,0.451,47.8,0.252,8.89,3/26/2015,10/12/2015,200,0,0.310620933,4.482216663
5,US-AR2,-99.5975,36.6358,383041,224984,100,R,83.66352217,10.62,5.716477833,5,ARM USDA UNL OSU Woodward Switchgrass 2,CCBY4.0,2009,2012,36.6358,-99.5975,646,America/Chicago,NA,NA,GRA,Dsa,6,Loam,0.451,47.8,0.252,8.89,3/2/2015,9/2/2015,184,0,0.282475278,3.900088563
6,US-ARb,-98.0402,35.5497,381969,244583,100,R,8.728143262,63.20181729,28.07003945,6,ARM Southern Great Plains burn site- Lamont,CCBY4.0,2005,2006,35.5497,-98.0402,424,America/Chicago,NA,NA,GRA,Cfa,4,Silt loam,0.485,78.6,0.234,16.68,4/15/2015,9/30/2015,168,0,0.345174361,7.457212947
7,US-ARc,-98.04,35.5465,381966,244580,100,R,9.046605691,59.466557,31.48683731,7,ARM Southern Great Plains control site- Lamont,CCBY4.0,2005,2006,35.5465,-98.04,424,America/Chicago,NA,NA,GRA,Cfa,4,Silt loam,0.485,78.6,0.234,16.68,4/27/2015,9/26/2015,152,0,0.341324873,7.492536827
8,US-ARM,-97.4888,36.6058,382739,225085,100,R,24.1323505,34.08158516,41.78606434,8,ARM Southern Great Plains site- Lamont,CCBY4.0,2003,2025,36.6058,-97.4888,314,America/Chicago,14.76,843,CRO,Cfa,4,Silt loam,0.485,78.6,0.234,16.68,3/10/2015,8/21/2015,164,0,0.456473126,1.776349734
9,US-ASH,-120.201,36.1697,467055,229181,100,R,24.86885246,52.65027322,22.48087432,9,USSL San Joaquin Valley Almond High Salinity,CCBY4.0,2016,2017,36.1697,-120.201,147,America/Los_Angeles,18.1,210,DBF,Bwk,3,Sandy loam,0.435,21.8,0.378,11.01,2/10/2015,11/17/2015,280,5,0.094330479,6.923057936
10,US-ASM,-120.2026,36.1777,467042,229169,100,R,63.1420765,27.53551913,9.322404372,10,USSL San Joaquin Valley Almond Medium Salinity,CCBY4.0,2016,2017,36.1777,-120.2026,147,America/Los_Angeles,18.1,210,DBF,Bwk,3,Sandy loam,0.435,21.8,0.378,11.01,3/6/2015,11/29/2015,268,3.06,0.095792479,6.982794654
