"","site_ID","daily_p_TE","mean_TE","mean_sig_TE","daily_agg_TE","var_TE","sk_TE","best_lag","mem1","mem2","mem3","mem4","mem5","cv_TE","ac1_TE","RB_id_TE","H_TE"
"1","US-A32",1.53325283612465,1.16192802173116,1.17871358639533,30.1031434894866,0.0226777028478404,-0.167914505550929,13,43,43,30,69,43,0.129604566753552,0.717633605571758,0.0736915592383713,6.17764124189307
"2","US-A74",2.13010013926079,1.53746634617598,1.53746634617598,38.8435871911133,0.0336361856157003,0.895949713741584,2,72,73,72,72,72,0.119288273237751,0.689616528601412,0.0722592161367573,6.17997187874772
"3","US-Akn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","US-AR1",2.34566222226215,1.36778483240033,1.36778483240033,33.0030905803693,0.193311709615951,0.434219398041619,0,72,73,72,72,72,0.321448421437617,0.941970845463075,0.0866952576658105,6.11764620276789
"5","US-AR2",1.15715186352743,0.829571240211563,0.829571240211563,21.6806003087091,0.0145854210562174,0.477379373284701,2,72,73,72,72,72,0.145581368682367,0.758887807595793,0.0734211102057837,6.17494736287099
"6","US-ARb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","US-ARc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","US-ARM",0.285359479549095,0.20903480904579,0.20903480904579,5.22851477151676,0.000940605043833762,0.628360745646061,0,72,73,72,72,72,0.14671855449909,0.872391551093858,0.0573293301496646,6.17486799353718
"9","US-ASH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","US-ASM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","US-Bar",0.59976368316156,0.417563421808585,0.417563421808585,10.1390120736348,0.00518499472456816,0.464808509869177,0,72,73,72,72,72,0.172445438746231,0.891750688630789,0.0597497078976657,6.16904566495683
"12","US-Bi1",0.581957665460343,0.457013132203314,0.460416914151704,11.0071955124326,0.00178899128824451,0.476840563249379,2,19,19,17,69,19,0.0925497890550593,0.720387454957051,0.0523814219445164,6.18379582597307
"13","US-Bi2",0.524324428024803,0.399801300785054,0.4759001258007,3.8067869694019,0.00416381541591708,0.42841691896799,0,4,4,4,23,4,0.161399257173853,0.842996525553076,0.0700389627206642,6.17154888831754
"14","US-BRG",1.4151806405374,0.942516121479742,0.980575862926345,22.9036200352837,0.0221496209927686,0.555301960835696,0,8,8,8,60,8,0.15790444743011,0.806015436781259,0.0731523277994211,6.17240758594892
"15","US-CdM",1.57623153825952,1.13043982019401,1.13043982019401,29.3771632761342,0.0179332110256739,0.436354381729686,0,72,73,72,72,72,0.118462687817729,0.812911275121043,0.0508908839322001,6.17993432702614
"16","US-CF1",1.4651202182121,1.24378455217293,1.24378455217293,29.6647410049752,0.00931023117387914,0.323594459407359,3,72,73,72,72,72,0.0775773738510216,0.454970947514789,0.0631898086360354,6.18556570148908
"17","US-CF2",0.503172975851314,0.406887047592599,0.460598979774337,4.61765806499073,0.00249890157286429,-0.276346094328822,6,4,1,1,23,7,0.122857227374531,0.3881634468803,0.107495483221656,6.17888560347469
"18","US-CF3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","US-CF4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","US-CGG",1.00188038677574,0.777140184695343,0.847607543797678,14.3417295570838,0.0109550567294929,0.0910289966843457,4,13,13,9,43,13,0.13468150141094,0.826351586536911,0.063582813736925,6.17689692988942
"21","US-Cop",1.00807802811174,0.707714244307333,0.729943349109345,19.6157840266348,0.0136977186488404,0.370810409561098,14,29,29,15,64,29,0.165373601271567,0.832693670910098,0.0765692599411039,6.17054521811672
"22","US-CRT",1.01528837771385,0.820662519438377,0.820662519438377,20.201271361413,0.00610658579438733,0.706274944123988,21,72,73,72,72,72,0.0952214153355329,0.717031419493434,0.0528009720916163,6.18349399238446
"23","US-CS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","US-CS2",7.76775317793995,5.21427506991087,5.71537905872558,105.072369049044,2.20724175393452,0.285657398939181,18,3,19,12,56,30,0.284925299610901,0.874076438289856,0.113142644771154,6.1323170745865
"25","US-CS3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","US-CS4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","US-CS5",7.05801879264263,6.41670777555676,6.41670777555676,152.597208827219,0.374160213550413,-0.425089272055356,4,72,73,72,72,72,0.0953271350373673,0.618990661367864,0.0649888584848372,6.1832434354056
"28","US-CS6",4.37258555313697,3.78040873574915,3.78040873574915,91.8961161929234,0.244975938462078,-0.387181558381887,23,72,73,72,72,72,0.130925112866649,0.872098364561999,0.0519821786996531,6.17735107383815
"29","US-CS8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","US-Cst",0.897225763370487,0.654334398193053,0.683894540117782,14.1528564295127,0.0112745926042631,0.306654569137136,0,8,8,8,59,8,0.162274648608214,0.837364560942716,0.0700388399839724,6.17124864570119
"31","US-DFC",1.43711685797833,1.12392023164125,1.12392023164125,27.2202399650958,0.0132288609501476,0.308348885378145,0,72,73,72,72,72,0.102335363557607,0.726062918568874,0.0566823469427326,6.18242033718685
"32","US-DS3",1.06457078837622,0.928260825682939,0.939279610979783,19.262753102747,0.00495597748884576,0.284566906854968,18,0,5,3,66,21,0.0758393565647665,0.390048468657066,0.0635119156139454,6.18575034117799
"33","US-Fmf",1.18751849499667,0.83679209548019,0.83679209548019,20.3076031623796,0.030619976426055,0.431758478451265,23,72,73,72,72,72,0.209114841414128,0.924774200922019,0.0644141263864298,6.15929387252691
"34","US-Fuf",1.2965479437909,0.899806622478554,0.899806622478554,21.7094799407883,0.0870221004904442,0.276655795263552,23,72,73,72,72,72,0.327842758840241,0.941731925089094,0.0890456801490264,6.1138198271591
"35","US-Fwf",1.03789579712025,0.668964416485464,0.668964416485464,16.489156865814,0.0273992698885295,0.313315441337248,0,72,73,72,72,72,0.247438046174499,0.918915872831276,0.0799575506994587,6.14669379350796
"36","US-GLE",0.325700028252485,0.271078950019004,0.271078950019004,6.58088803694386,0.000197242460473251,0.872647774414517,22,72,73,72,72,72,0.0518089047024072,0.307295707425274,0.0468618054899942,6.18794017966159
"37","US-Ha1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","US-HB2",1.58401861332015,0.997340928344013,1.15449488547138,15.5112391334747,0.032054638173754,0.748002700828791,1,8,8,7,30,8,0.179515435811645,0.857135620278721,0.0715640319906596,6.16752946021509
"39","US-HB3",1.33552202042414,0.784901095762291,0.789013799507759,20.5849225383518,0.0319412589470423,0.798381818826914,0,61,61,61,71,61,0.227698976997071,0.925162097956671,0.0682004714616127,6.15426479928639
"40","US-Hn2",1.70620338701456,1.35859996435303,1.38981464302048,28.6098631356681,0.0344005362053468,0.0252120803503515,15,4,21,18,65,33,0.136518342619966,0.778392026426471,0.0732207275934054,6.17650249175881
"41","US-Hn3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","US-Ho1",0.481118226142012,0.445193071606836,0.445193071606836,10.8010843411276,0.000392236409945502,0.334309712693757,21,72,73,72,72,72,0.0444862251664607,0.423815101616837,0.0389742421530343,6.1884223640559
"43","US-Ho2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","US-HWB",1.18154058537187,0.926320588644746,0.926320588644746,23.2598068082364,0.00738100218181469,0.584837247683677,0,72,73,72,72,72,0.0927462480981007,0.663068769752254,0.0581338064517904,6.18379027979447
"45","US-Jo1",0.235666791435178,0.159196313260587,0.173526745760618,3.24524337144303,0.00113605358690215,0.133773710154262,20,2,17,7,53,27,0.21172220224451,0.866929994182462,0.0914153054762709,6.1576894503523
"46","US-Jo2",1.11602029180795,0.616018753210077,0.616018753210077,16.7828633470114,0.0221387737467175,0.899706299262791,0,72,73,72,72,72,0.24153654376673,0.904200696829812,0.0772641387470996,6.15012582020197
"47","US-KFS",0.727799217746456,0.43185793177755,0.43185793177755,11.1035899201485,0.00499900208217701,1.5288420463621,0,72,73,72,72,72,0.163719631432773,0.836265417059993,0.0705332552914773,6.17192620201675
"48","US-KLS",0.592468902789097,0.500435055192956,0.500435055192956,12.1483350032192,0.00238526697732779,0.348906155770756,23,72,73,72,72,72,0.0975934730913775,0.692492604438341,0.0636217722348539,6.1831019839327
"49","US-Kon",0.582403694852974,0.497454540783689,0.497454540783689,12.5292775928545,0.00210473830880002,0.0551200362998059,9,72,73,72,72,72,0.0922243607122661,0.783151120470608,0.0444389919988526,6.18376665356177
"50","US-KS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","US-KS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","US-Lin",2.72786919457434,2.22151761782103,2.22151761782103,52.1115813184614,0.0957444790619761,0.351610189626408,1,72,73,72,72,72,0.139285885164995,0.828021348218278,0.0658604632587446,6.17616807382692
"53","US-LS2",1.58858144925519,1.0927854047224,1.0927854047224,26.4236589872844,0.11100807354873,0.0489294460159861,0,72,73,72,72,72,0.304889450116953,0.938123514328045,0.0859514131814024,6.12240546332271
"54","US-Me1",3.07838922257375,2.23760428456536,2.34102841057738,46.758470986573,0.140238165592729,0.314036874417138,0,10,10,10,59,10,0.167359290550377,0.841197470645782,0.0745356119240359,6.17007088544588
"55","US-Me2",0.23355960180964,0.183120933284401,0.183574246000269,4.54111525714964,0.000284813087363898,0.609999715319211,2,53,53,51,71,53,0.0921598963645562,0.671995337981409,0.0585969488129254,6.18387020844989
"56","US-Me3",1.0170845577973,0.728976601638297,0.728976601638297,18.4289220051233,0.00952162612315252,0.929044678732679,1,72,73,72,72,72,0.133857273107001,0.76755421191858,0.0674276725964535,6.17749545171997
"57","US-Me6",0.385087504968535,0.331679735628595,0.331679735628595,8.08245035468733,0.000489076569666171,0.106496811460425,9,72,73,72,72,72,0.0666759926644695,0.504304327768933,0.0541277666059326,6.18666213124198
"58","US-MMS",0.403520328953634,0.279805225883435,0.279805225883435,6.7399370864171,0.00163295475443641,0.756076790194371,0,72,73,72,72,72,0.144421301443111,0.861183135580632,0.0541865345686419,6.17541033221519
"59","US-Mo1",0.473997244456783,0.386775265491203,0.388192808707857,9.27025472987812,0.00251532012826798,0.263699596582379,0,23,23,23,71,23,0.129669531036477,0.847944307956956,0.0565597152343744,6.17792133975255
"60","US-Mo2",0.767022669621796,0.562039669152287,0.562039669152287,14.0108905150397,0.00541239527613971,0.640304408760471,1,72,73,72,72,72,0.130896424487266,0.790413032960977,0.0633127653167561,6.17788233897542
"61","US-Mo3",0.731182597872755,0.559239186599448,0.559239186599448,14.3078610598197,0.00422673545463973,0.418166420206259,3,72,73,72,72,72,0.11625320585242,0.784194090492714,0.059721351755947,6.18031170451972
"62","US-MOz",0.430099215514433,0.342200736009215,0.342200736009215,8.45662085608977,0.000775683883296413,0.648468058981744,0,72,73,72,72,72,0.0813882002039116,0.691003324413727,0.047751427257439,6.18517962103045
"63","US-Mpj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","US-NC1",0.685892271916271,0.465830392383143,0.467547724942867,11.7752348759868,0.0047705598981742,0.623801506358553,0,37,37,37,71,37,0.14827121848104,0.842752936478529,0.0648501572781564,6.17450946334371
"65","US-NC3",0.896788686036906,0.558268802764879,0.558268802764879,14.774960599811,0.0119898380668006,0.549610522542124,0,72,73,72,72,72,0.196138703198228,0.914090339349071,0.0613477893784836,6.16300765098379
"66","US-Ne1",0.455459944933431,0.37585356453792,0.37585356453792,9.32410105909249,0.00156986578003257,-0.285414856239018,5,72,73,72,72,72,0.105417469757489,0.824919913007304,0.0502094637315929,6.18180107947805
"67","US-NR1",0.484663471703547,0.33638944497372,0.337840242585675,7.72206639133191,0.00642476997190544,0.391198951750423,22,12,60,72,71,72,0.238279363453259,0.937719876386197,0.0624331437193521,6.15013690944541
"68","US-Oho",0.636016640840517,0.533016018717051,0.533016018717051,13.0499754226714,0.00272613320152871,-0.0736531979313376,2,72,73,72,72,72,0.0979565035289883,0.756244604161509,0.0527930005127493,6.18295986400084
"69","US-ONA",0.983740060032644,0.559420793018016,0.577445275153268,13.9698617944609,0.0230120560064841,0.647474879504079,0,14,14,14,66,14,0.271168417483499,0.905067874896834,0.0873338573070754,6.13929942441696
"70","US-PFb",5.23931555859289,4.27641156054643,4.60528218608729,77.3551240625934,0.34650147638923,-0.273842879881864,0,7,7,7,47,7,0.137648996556499,0.62509146694719,0.0906306173675406,6.17605097837288
"71","US-PFc",5.8560477414476,4.57480280157034,5.40708718380608,22.1130865327324,0.275528266998767,-0.0772400398518183,2,3,3,1,7,3,0.114738905263282,0.571924734672546,0.0807204619585117,6.18037105798566
"72","US-PFk",6.02485155490567,4.77498592132239,5.22847411281375,51.3869008879158,0.478968411921771,-0.159684802986125,23,0,4,2,37,25,0.144937691844843,0.660740744338659,0.0920358877405577,6.17458296244003
"73","US-PFL",4.62431809342229,3.59071412794618,4.18060991314871,21.0238294575952,0.195437576820838,-0.0652876706538173,3,5,5,2,14,5,0.123118468391011,0.615657630585248,0.0885531648800323,6.17893465747972
"74","US-PFm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","US-PFn",5.80157826102173,4.14422751539247,4.56545455087188,62.3916456015836,0.341091437014175,0.0275520654873587,15,0,14,11,39,26,0.140926224960412,0.717669408974246,0.0853906384997303,6.17557752760774
"76","US-PFp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
