"","Site_ID","p_TE_psi_to_ET","p_lag_psi_to_ET","mem_psi_to_ET","agg_TE_psi_to_ET","period_psi_to_ET","p_TE_VPD_to_ET","p_lag_VPD_to_ET","mem_VPD_to_ET","agg_TE_VPD_to_ET","period_VPD_to_ET","p_TE_TA_to_ET","p_lag_TA_to_ET","mem_TA_to_ET","agg_TE_TA_to_ET","period_TA_to_ET","p_TE_ET_to_psi","p_lag_ET_to_psi","mem_ET_to_psi","agg_TE_ET_to_psi","period_ET_to_psi","p_TE_VPD_to_psi","p_lag_VPD_to_psi","mem_VPD_to_psi","agg_TE_VPD_to_psi","period_VPD_to_psi","p_TE_TA_to_psi","p_lag_TA_to_psi","mem_TA_to_psi","agg_TE_TA_to_psi","period_TA_to_psi","p_TE_ET_to_VPD","p_lag_ET_to_VPD","mem_ET_to_VPD","agg_TE_ET_to_VPD","period_ET_to_VPD","p_TE_psi_to_VPD","p_lag_psi_to_VPD","mem_psi_to_VPD","agg_TE_psi_to_VPD","period_psi_to_VPD","p_TE_TA_to_VPD","p_lag_TA_to_VPD","mem_TA_to_VPD","agg_TE_TA_to_VPD","period_TA_to_VPD","p_TE_ET_to_TA","p_lag_ET_to_TA","mem_ET_to_TA","agg_TE_ET_to_TA","period_ET_to_TA","p_TE_psi_to_TA","p_lag_psi_to_TA","mem_psi_to_TA","agg_TE_psi_to_TA","period_psi_to_TA","p_TE_VPD_to_TA","p_lag_VPD_to_TA","mem_VPD_to_TA","agg_TE_VPD_to_TA","period_VPD_to_TA","GS"
"1","US-A32",1.53325283612465,13,30,30.1031434894866,24,6.25984213201445,0,36,64.8703036470037,24,4.7768205863252,0,33,53.088304792246,NA,3.50682620290726,14,72,64.8614567458148,24,4.04599274672993,0,72,70.5577175431578,27,3.9001614029781,0,72,58.6332221595015,12,5.59588870962371,0,15,47.4120266880852,24,1.32766301060681,0,52,24.3482735656679,24,21.5013936528111,0,4,56.7926749675693,NA,3.61513083144801,0,6,11.9442469214634,NA,1.04203053189587,0,2,2.72619866924574,12,17.2292587192966,0,1,39.1624237473771,NA,"FT"
"2","US-A32",1.69305810243116,13,8,29.0504945375363,24,6.45293982496518,0,36,66.0249434517365,24,5.13524903103132,0,13,55.2846726607548,NA,2.1648146634959,0,72,40.6784244568219,12,2.29560945678841,1,72,40.8624755076808,27,2.20286514568114,0,21,33.1941280760173,12,5.72206618122351,0,15,45.6193747519671,24,1.39446999604835,0,4,24.6366006394641,12,22.5367370699159,0,4,56.6081301818398,NA,4.10310914424113,0,6,17.3624793505703,24,1.32570570777384,0,2,4.4405576829857,12,18.7502621545903,0,1,47.612580193156,NA,"GS"
"3","US-A32",5.62583897019035,13,11,90.5145124648678,24,9.27419546198648,16,13,146.667926827594,24,9.67203050177148,0,9,187.647542975912,12,4.57007461951337,13,1,4.57007461951337,24,9.59365650666764,5,9,109.148695048305,24,10.6996783623499,2,12,205.363065838873,NA,7.95008899238394,0,11,84.9963023572473,24,NA,NA,NA,NA,24,24.3575329310161,0,1,110.511655030872,NA,7.06347195200815,0,1,27.4355547450321,NA,NA,NA,NA,NA,43.2,18.6297365957672,0,1,59.0144785099231,NA,"NGS"
"4","US-A74",2.13010013926079,2,72,38.8435871911133,24,5.48343887121664,0,72,60.566685931349,24,4.67123938175152,0,72,56.5122383779525,24,2.75959521363519,0,72,49.582301342124,24,2.98726191581985,1,72,52.4808336079442,27,3.06345427639447,0,72,52.9036467234432,NA,4.9687118706785,0,11,34.5291845070039,24,1.2541070436342,0,5,14.5580853931724,24,23.3066712422058,0,36,59.2705031692391,NA,3.46313927150591,0,5,15.8073425594868,NA,1.42837889028263,0,3,9.24299728618779,12,20.0957484881815,0,10,43.0046476328826,NA,"FT"
"5","US-A74",2.34416954268975,1,12,37.5290623487501,27,6.26272723397285,0,36,80.1757434721956,24,6.18270293424456,0,60,77.5880762151435,24,7.81631853042273,2,72,158.180382023837,24,6.51468564628775,1,72,128.651176572991,NA,8.13897382349267,0,72,134.288550228918,12,6.18775683289786,0,9,39.0692886531881,24,1.61405522742629,0,2,8.20128391282412,12,25.3303139387934,0,1,67.0179862282992,NA,5.14296478636979,0,3,10.5198811671267,24,1.99000235588128,0,3,10.2051497778812,5.83783783783784,23.2182021961436,0,1,55.9589295740242,NA,"GS"
"6","US-A74",2.21857740338001,0,9,36.3254215760542,24,6.6322969583161,0,10,74.0870665702117,24,5.31887970726673,0,9,56.3847502833383,24,7.27953064299216,0,72,137.83517688364,24,8.40221487251201,2,72,150.631716489931,24,7.87077148670816,1,72,138.494776234807,7.71428571428571,6.37202298842322,0,10,48.1363517603794,24,1.96530141379188,0,2,15.9978714371924,24,22.7616630156456,0,1,63.2209730147025,NA,4.38196403409013,0,2,7.18916519078076,24,1.67160454046195,0,1,1.67160454046195,NA,18.86167360561,0,1,34.4433458995739,NA,"NGS"
"7","US-Akn",NA,NA,NA,NA,NA,3.67897814510041,0,72,29.5596801736921,24,2.66500134531187,0,72,21.8319401018208,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1783811678203,0,72,33.9523135358069,24,NA,NA,NA,NA,NA,9.88661689374656,0,72,30.7917322689445,NA,2.13758619579487,0,72,19.0431763435033,24,NA,NA,NA,NA,NA,7.45675497294045,0,72,23.0707701896734,NA,"FT"
"8","US-Akn",NA,NA,NA,NA,NA,3.66857566550444,0,72,37.9983769716107,24,3.66609268370417,0,32,32.9537813217541,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.42693781586615,0,72,45.6876127523515,12,NA,NA,NA,NA,NA,13.9175444229238,0,39,45.8603090245866,NA,3.23060971531475,0,40,31.0113345295331,24,NA,NA,NA,NA,NA,10.9943062921531,0,36,36.1572847129763,NA,"GS"
"9","US-Akn",NA,NA,NA,NA,NA,4.28606882520932,0,72,40.164304923132,24,2.83773654353687,0,58,35.0921073097692,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66330444419094,0,72,41.411910638672,24,NA,NA,NA,NA,NA,8.03296782070052,0,72,43.0424498248843,NA,2.29344976666627,0,72,31.6370251943089,24,NA,NA,NA,NA,NA,6.0823049952179,0,72,35.7308098791845,NA,"NGS"
"10","US-AR1",2.34566222226215,0,72,33.0030905803693,24,3.75006965975167,0,72,40.3580752588255,24,3.09620200847085,0,72,33.42227639077,NA,5.8192879173185,0,72,88.9814638224259,24,3.66641409259545,1,72,72.0951924654881,24,3.5029820825112,1,72,65.865400940291,43.2,2.92645192157787,0,72,30.1956967314981,24,0.947443931219593,3,72,16.9886804300429,24,17.302913896606,0,72,41.18832163379,NA,1.72752139544468,0,13,13.2125798459313,27,0.515507802676851,0,1,0.515507802676851,24,12.6896608766384,0,16,28.6887526886261,NA,"FT"
