"","Site_ID","GS","pTE_psi_to_ET","plag_psi_to_ET","aggTE_psi_to_ET","mem1_psi_to_ET","mem2_psi_to_ET","mem3_psi_to_ET","mem4_psi_to_ET","mem5_psi_to_ET","pTE_VPD_to_ET","plag_VPD_to_ET","aggTE_VPD_to_ET","mem1_VPD_to_ET","mem2_VPD_to_ET","mem3_VPD_to_ET","mem4_VPD_to_ET","mem5_VPD_to_ET","pTE_TA_to_ET","plag_TA_to_ET","aggTE_TA_to_ET","mem1_TA_to_ET","mem2_TA_to_ET","mem3_TA_to_ET","mem4_TA_to_ET","mem5_TA_to_ET","pTE_ET_to_psi","plag_ET_to_psi","aggTE_ET_to_psi","mem1_ET_to_psi","mem2_ET_to_psi","mem3_ET_to_psi","mem4_ET_to_psi","mem5_ET_to_psi","pTE_VPD_to_psi","plag_VPD_to_psi","aggTE_VPD_to_psi","mem1_VPD_to_psi","mem2_VPD_to_psi","mem3_VPD_to_psi","mem4_VPD_to_psi","mem5_VPD_to_psi","pTE_TA_to_psi","plag_TA_to_psi","aggTE_TA_to_psi","mem1_TA_to_psi","mem2_TA_to_psi","mem3_TA_to_psi","mem4_TA_to_psi","mem5_TA_to_psi","pTE_ET_to_VPD","plag_ET_to_VPD","aggTE_ET_to_VPD","mem1_ET_to_VPD","mem2_ET_to_VPD","mem3_ET_to_VPD","mem4_ET_to_VPD","mem5_ET_to_VPD","pTE_psi_to_VPD","plag_psi_to_VPD","aggTE_psi_to_VPD","mem1_psi_to_VPD","mem2_psi_to_VPD","mem3_psi_to_VPD","mem4_psi_to_VPD","mem5_psi_to_VPD","pTE_TA_to_VPD","plag_TA_to_VPD","aggTE_TA_to_VPD","mem1_TA_to_VPD","mem2_TA_to_VPD","mem3_TA_to_VPD","mem4_TA_to_VPD","mem5_TA_to_VPD","pTE_ET_to_TA","plag_ET_to_TA","aggTE_ET_to_TA","mem1_ET_to_TA","mem2_ET_to_TA","mem3_ET_to_TA","mem4_ET_to_TA","mem5_ET_to_TA","pTE_psi_to_TA","plag_psi_to_TA","aggTE_psi_to_TA","mem1_psi_to_TA","mem2_psi_to_TA","mem3_psi_to_TA","mem4_psi_to_TA","mem5_psi_to_TA","pTE_VPD_to_TA","plag_VPD_to_TA","aggTE_VPD_to_TA","mem1_VPD_to_TA","mem2_VPD_to_TA","mem3_VPD_to_TA","mem4_VPD_to_TA","mem5_VPD_to_TA"
"1","US-A32","FT",1.53325283612465,13,30.1031434894866,43,43,30,69,43,6.25984213201445,0,64.8703036470037,36,36,36,71,36,4.7768205863252,0,53.088304792246,33,33,33,70,33,3.50682620290726,14,64.8614567458148,72,73,72,72,72,4.04599274672993,0,70.5577175431578,72,73,72,72,72,3.9001614029781,0,58.6332221595015,72,73,72,72,72,5.59588870962371,0,47.4120266880852,15,15,15,61,15,1.32766301060681,0,24.3482735656679,52,52,52,68,52,21.5013936528111,0,56.7926749675693,4,4,4,60,4,3.61513083144801,0,11.9442469214634,6,6,6,13,6,1.04203053189587,0,2.72619866924574,2,2,2,8,2,17.2292587192966,0,39.1624237473771,1,1,1,36,1
"2","US-A32","GS",1.69305810243116,13,29.0504945375363,21,21,8,65,21,6.45293982496518,0,66.0249434517365,36,36,36,71,36,5.13524903103132,0,55.2846726607548,13,13,13,68,13,2.1648146634959,0,40.6784244568219,72,73,72,72,72,2.29560945678841,1,40.8624755076808,72,73,72,72,72,2.20286514568114,0,33.1941280760173,21,21,21,71,21,5.72206618122351,0,45.6193747519671,15,15,15,56,15,1.39446999604835,0,24.6366006394641,4,4,4,58,4,22.5367370699159,0,56.6081301818398,4,4,4,54,4,4.10310914424113,0,17.3624793505703,6,6,6,13,6,1.32570570777384,0,4.4405576829857,2,2,2,10,2,18.7502621545903,0,47.612580193156,1,1,1,39,1
"3","US-A32","NGS",5.62583897019035,13,90.5145124648678,1,17,11,57,24,9.27419546198648,16,146.667926827594,5,17,13,45,29,9.67203050177148,0,187.647542975912,9,9,9,67,9,4.57007461951337,13,4.57007461951337,0,1,1,0,14,9.59365650666764,5,109.148695048305,14,14,9,53,14,10.6996783623499,2,205.363065838873,14,14,12,70,14,7.95008899238394,0,84.9963023572473,11,11,11,32,11,NA,NA,NA,NA,NA,NA,NA,NA,24.3575329310161,0,110.511655030872,1,1,1,28,1,7.06347195200815,0,27.4355547450321,1,1,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,18.6297365957672,0,59.0144785099231,1,1,1,11,1
"4","US-A74","FT",2.13010013926079,2,38.8435871911133,72,73,72,72,72,5.48343887121664,0,60.566685931349,72,73,72,72,72,4.67123938175152,0,56.5122383779525,72,73,72,72,72,2.75959521363519,0,49.582301342124,72,73,72,72,72,2.98726191581985,1,52.4808336079442,72,73,72,72,72,3.06345427639447,0,52.9036467234432,72,73,72,72,72,4.9687118706785,0,34.5291845070039,11,11,11,48,11,1.2541070436342,0,14.5580853931724,5,5,5,33,5,23.3066712422058,0,59.2705031692391,36,36,36,67,36,3.46313927150591,0,15.8073425594868,5,5,5,17,5,1.42837889028263,0,9.24299728618779,3,3,3,16,3,20.0957484881815,0,43.0046476328826,10,10,10,40,10
"5","US-A74","GS",2.34416954268975,1,37.5290623487501,13,13,12,57,13,6.26272723397285,0,80.1757434721956,36,36,36,68,36,6.18270293424456,0,77.5880762151435,60,60,60,70,60,7.81631853042273,2,158.180382023837,72,73,72,72,72,6.51468564628775,1,128.651176572991,72,73,72,72,72,8.13897382349267,0,134.288550228918,72,73,72,72,72,6.18775683289786,0,39.0692886531881,9,9,9,36,9,1.61405522742629,0,8.20128391282412,2,2,2,15,2,25.3303139387934,0,67.0179862282992,1,1,1,50,1,5.14296478636979,0,10.5198811671267,3,3,3,8,3,1.99000235588128,0,10.2051497778812,3,3,3,12,3,23.2182021961436,0,55.9589295740242,1,1,1,27,1
"6","US-A74","NGS",2.21857740338001,0,36.3254215760542,9,9,9,67,9,6.6322969583161,0,74.0870665702117,10,10,10,64,10,5.31887970726673,0,56.3847502833383,9,9,9,44,9,7.27953064299216,0,137.83517688364,72,73,72,72,72,8.40221487251201,2,150.631716489931,72,73,72,72,72,7.87077148670816,1,138.494776234807,72,73,72,72,72,6.37202298842322,0,48.1363517603794,10,10,10,39,10,1.96530141379188,0,15.9978714371924,2,2,2,44,2,22.7616630156456,0,63.2209730147025,1,1,1,26,1,4.38196403409013,0,7.18916519078076,2,2,2,1,2,1.67160454046195,0,1.67160454046195,1,1,1,7,1,18.86167360561,0,34.4433458995739,1,1,1,11,1
"7","US-Akn","FT",NA,NA,NA,NA,NA,NA,NA,NA,3.67897814510041,0,29.5596801736921,72,73,72,72,72,2.66500134531187,0,21.8319401018208,72,73,72,72,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1783811678203,0,33.9523135358069,72,73,72,72,72,NA,NA,NA,NA,NA,NA,NA,NA,9.88661689374656,0,30.7917322689445,72,73,72,72,72,2.13758619579487,0,19.0431763435033,72,73,72,72,72,NA,NA,NA,NA,NA,NA,NA,NA,7.45675497294045,0,23.0707701896734,72,73,72,72,72
"8","US-Akn","GS",NA,NA,NA,NA,NA,NA,NA,NA,3.66857566550444,0,37.9983769716107,72,73,72,72,72,3.66609268370417,0,32.9537813217541,32,32,32,68,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.42693781586615,0,45.6876127523515,72,73,72,72,72,NA,NA,NA,NA,NA,NA,NA,NA,13.9175444229238,0,45.8603090245866,39,39,39,71,39,3.23060971531475,0,31.0113345295331,40,40,40,71,40,NA,NA,NA,NA,NA,NA,NA,NA,10.9943062921531,0,36.1572847129763,36,36,36,68,36
"9","US-Akn","NGS",NA,NA,NA,NA,NA,NA,NA,NA,4.28606882520932,0,40.164304923132,72,73,72,72,72,2.83773654353687,0,35.0921073097692,58,58,58,71,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66330444419094,0,41.411910638672,72,73,72,72,72,NA,NA,NA,NA,NA,NA,NA,NA,8.03296782070052,0,43.0424498248843,72,73,72,72,72,2.29344976666627,0,31.6370251943089,72,73,72,72,72,NA,NA,NA,NA,NA,NA,NA,NA,6.0823049952179,0,35.7308098791845,72,73,72,72,72
"10","US-AR1","FT",2.34566222226215,0,33.0030905803693,72,73,72,72,72,3.75006965975167,0,40.3580752588255,72,73,72,72,72,3.09620200847085,0,33.42227639077,72,73,72,72,72,5.8192879173185,0,88.9814638224259,72,73,72,72,72,3.66641409259545,1,72.0951924654881,72,73,72,72,72,3.5029820825112,1,65.865400940291,72,73,72,72,72,2.92645192157787,0,30.1956967314981,72,73,72,72,72,0.947443931219593,3,16.9886804300429,72,73,72,72,72,17.302913896606,0,41.18832163379,72,73,72,72,72,1.72752139544468,0,13.2125798459313,13,13,13,45,13,0.515507802676851,0,0.515507802676851,1,1,1,4,1,12.6896608766384,0,28.6887526886261,16,16,16,66,16
"11","US-AR1","GS",2.65778529665711,0,34.8975094326886,10,10,10,70,10,3.34904317514952,0,41.2307013013569,72,73,72,72,72,4.03775528949955,0,44.1556007278336,72,73,72,72,72,5.2823546751138,1,85.2755136611276,72,73,72,72,72,3.45151918558869,1,70.0149860750575,72,73,72,72,72,3.59801912883556,0,72.5218280710377,72,73,72,72,72,2.95745098671033,0,27.5729381677371,11,11,11,54,11,1.01484192918113,4,8.39793834022904,8,8,4,24,8,21.1527508067795,0,53.3709450975576,32,32,32,71,32,2.82230100447318,0,19.0638452640807,11,11,11,43,11,0.943735769958713,0,2.57152167912611,3,3,3,10,3,18.2636047484957,0,46.4846984751424,19,19,19,68,19
